UMAP_1 UMAP_2
G1_G1_cell1_count -0.0503173146356335 -0.0347739235096327
G1_G1_cell2_count -0.0474890075049226 -0.0320424635141069
G1_G1_cell3_count -0.0389784896515725 -0.03807178884782
G1_G1_cell4_count -0.0579113279305133 -0.0307068307481301
G1_G1_cell5_count -0.0580427122523663 -0.0288417872186362
G1_G1_cell6_count -0.017375683626045 -0.0311191388989171
G1_G1_cell7_count -0.035444597051924 -0.0350076958334605
G1_G1_cell8_count -0.0356294211964995 -0.0333070260747744
G1_G1_cell9_count -0.00481305831336212 -0.0201423242173314
G1_G1_cell10_count -0.00973638782030737 -0.0271234227786084
G1_G1_cell11_count -0.0311222279764758 -0.0363543634789143
G1_G1_cell12_count -0.0566184237392138 -0.0326497989129107
G1_G1_cell13_count 0.00327145615855182 -0.0228604217611952
G1_G1_cell14_count -0.0297249658926655 -0.0358650246002246
G1_G1_cell15_count -0.0130010696462 -0.0310051633734347
G1_G1_cell16_count 0.00905371922668956 -0.0160553156803635
G1_G1_cell17_count -0.00530372507790085 -0.0284143625029144
G1_G1_cell18_count -0.0488239524660197 -0.034053862908256
G1_G1_cell19_count -0.0306399444577056 -0.0336542263699462
G1_G1_cell20_count -0.0406719094617374 -0.0372366077464773
G1_G1_cell21_count 0.00908563100520413 -0.0197832151485501
G1_G1_cell22_count -0.00501615150286937 -0.0230714398533259
G1_G1_cell23_count -0.0288093942477972 -0.0179510103845651
G1_G1_cell24_count 0.00611415073113848 -0.0228866224470102
G1_G1_cell25_count -0.0057929122415142 -0.0243862774266316
G1_G1_cell26_count 0.00349506060329725 -0.021268003079771
G1_G1_cell27_count -0.0212341760909615 -0.0310452569808488
G1_G1_cell28_count -0.033938553777828 -0.0359008079012537
G1_G1_cell29_count -0.0550488666399789 -0.0328314270312304
G1_G1_cell30_count 0.00233225113791886 -0.0254683160005012
G1_G1_cell31_count -0.0581801437521719 -0.0339236147535487
G1_G1_cell32_count -0.00725252728987491 -0.0275624778862801
G1_G1_cell33_count -0.0447733078011605 -0.0351841009546398
G1_G1_cell34_count -0.00651121243098218 -0.00994398635450807
G1_G1_cell35_count -0.0448183791774131 -0.0380146144728253
G1_G1_cell36_count 0.0183474851710117 -0.0205269528199516
G1_G1_cell37_count -0.0190411190433313 -0.0328792195735475
G1_G1_cell38_count -0.0341815299856873 -0.0343070403477494
G1_G1_cell39_count -0.021055286254217 -0.00798818320608949
G1_G1_cell40_count -0.0367925069538094 -0.032491468674436
G1_G1_cell41_count -0.0388821421141276 -0.0263083831988933
G1_G1_cell42_count 0.0264018350991324 -0.0192459593110468
G1_G1_cell43_count -0.00476640004210107 -0.0216342913565244
G1_G1_cell44_count -0.0262591761074457 -0.00681892788150822
G1_G1_cell45_count -0.0473736583212241 -0.034966768871703
G1_G1_cell46_count -0.0366556454645143 -0.0326482668753695
G1_G1_cell47_count -0.0328489653580686 -0.0309078206660628
G1_G1_cell48_count -0.0412104108095563 -0.0364597290712447
G1_G1_cell49_count -0.0346010789426893 -0.0308812620014739
G1_G1_cell50_count -0.0495959246408005 -0.0307644620752389
G1_G1_cell51_count -0.0294347536583946 -0.033700171864527
G1_G1_cell52_count -0.0436663842556944 -0.0256134800657288
G1_G1_cell53_count -0.0460349507475342 -0.030968977551339
G1_G1_cell54_count -0.0312359998368145 -0.0340612570029469
G1_G1_cell55_count -0.0358344469686037 -0.0290871859530477
G1_G1_cell56_count -0.0196845604478523 -0.0287700719951784
G1_G1_cell57_count -0.0113106339169132 -0.0108507043175046
G1_G1_cell58_count -0.0461901677394944 -0.030640206043869
G1_G1_cell59_count -0.0370903147720174 -0.0322833009417596
G1_G1_cell60_count -0.00872018809926011 -0.00962332412564294
G1_G1_cell61_count -0.0424594281214092 -0.0296387263586402
G1_G1_cell62_count 0.00688783482123149 -0.0189365983749666
G1_G1_cell63_count 0.0308941655234693 -0.0123341212432772
G1_G1_cell64_count -0.027217660690074 -0.031586271192329
G1_G1_cell65_count -0.0429891286775923 -0.0291001330483655
G1_G1_cell66_count -0.0127217133721852 -0.0253277350081256
G1_G1_cell67_count -0.0248171253106522 -0.0346010897646769
G1_G1_cell68_count -0.00509619079315042 -0.0242370282672188
G1_G1_cell69_count -0.0398294849942958 -0.0336754723588741
G1_G1_cell70_count -0.00284836433933188 -0.0268601687363195
G1_G1_cell71_count -0.047495689083338 -0.031895512841221
G1_G1_cell72_count 0.0442535442892291 -0.00799030222134089
G1_G1_cell73_count -0.0152457964257924 -0.0277687500701236
G1_G1_cell74_count 0.00939197662908393 -0.0158583380307276
G1_G1_cell75_count -0.00751854720505661 -0.0264526835452962
G1_G1_cell76_count -0.0326814595950508 -0.0363272004814612
G1_G1_cell77_count 0.00710643849198804 -0.0230524899007284
G1_G1_cell78_count -0.038647947781029 -0.0314281824959277
G1_G1_cell79_count -0.0393704304256111 -0.0339864374990786
G1_G1_cell80_count 0.0173430497952822 -0.0167788321486496
G1_G1_cell81_count -0.0307671517505386 -0.024532700078976
G1_G1_cell82_count -0.0320214127430014 -0.0316922844355655
G1_G1_cell83_count -0.0133324018838353 -0.0177465514305548
G1_G1_cell84_count -0.0328381597336061 -0.0330771895087998
G1_G1_cell85_count -0.0299238469904939 -0.0306492237950617
G1_G1_cell86_count -0.0348941316734286 -0.0225608946350674
G1_G1_cell87_count -0.00857878137228015 -0.0239749884912827
G1_G1_cell88_count -0.0270932476703045 -0.0293714672942473
G1_G1_cell89_count 0.00562773528823236 -0.0222371208752573
G1_G1_cell90_count 0.0444749357842463 -0.00822679064154902
G1_G1_cell91_count 0.0036227023865228 -0.0211934852870166
G1_G1_cell92_count -0.0320770588584075 -0.0296939598281926
G1_G1_cell93_count -0.0239209554404546 -0.0295833956429916
G1_G1_cell94_count -0.0256313051324728 -0.0255624155561421
G1_G1_cell95_count 0.000979507784630144 -0.00895462940814145
G1_G1_cell96_count -0.00633390493558094 -0.0149393448910308
G2M_G2M_cell1_count -0.0375270248152374 -0.0132423064580584
G2M_G2M_cell2_count 0.0713253323399537 0.00437088734956954
G2M_G2M_cell3_count 0.0807836116793691 -0.000642121136821849
G2M_G2M_cell4_count -0.057627489753734 -0.0274986091248679
G2M_G2M_cell5_count 0.0900570302516544 0.0031798529827347
G2M_G2M_cell6_count -0.0141908144267052 0.00521920912685068
G2M_G2M_cell7_count 0.0678003823493382 0.00261968467854194
G2M_G2M_cell8_count 0.0931994107574294 0.000921362301332446
G2M_G2M_cell9_count 0.0236738967537466 0.00949613619712079
G2M_G2M_cell10_count 0.0904750074252361 0.00112941045208174
G2M_G2M_cell11_count 0.092785023073968 0.00242917957198952
G2M_G2M_cell12_count 0.0989239146941917 0.00255930949914364
G2M_G2M_cell13_count 0.0903952019223568 0.000953883402183902
G2M_G2M_cell14_count 0.0883715835672992 0.00201381806674776
G2M_G2M_cell15_count 0.0930119877590207 0.00136664346807482
G2M_G2M_cell16_count -0.0144001353119203 -0.00487966612775541
G2M_G2M_cell17_count 0.0894946451151983 0.0019409680619685
G2M_G2M_cell18_count 0.0458920890041339 0.00321088414208445
G2M_G2M_cell19_count 0.0931541298191133 0.00189992426531895
G2M_G2M_cell20_count 0.0977481759885712 0.00250165430658448
G2M_G2M_cell21_count 0.0929128744755695 0.00098137032806603
G2M_G2M_cell22_count -0.0511459285035481 -0.0183176847441745
G2M_G2M_cell23_count 0.0868358853285816 0.000643251696123843
G2M_G2M_cell24_count 0.0801431166602158 -0.0018811990406411
